,idx,title,author,ban_info
318,319,The Miseducation of Cameron Post,"Danforth, Emily M.","Banned Pending Investigation, Texas, Granbury Independent School District, January 2022, Administrator; Banned in Libraries, Texas, North East Independent School District, December 2021, Administrator; "
319,320,Dreadnought (Nemesis Series),"Daniels, April","Banned in Libraries, Texas, North East Independent School District, December 2021, Administrator; "
320,321,Happy families,"Davis, Tanita S.","Banned in Libraries, Texas, North East Independent School District, December 2021, Administrator; "
321,322,This Book Is Gay,"Dawson, Juno","Banned Pending Investigation, Florida, Brevard Public Schools, March 2022, Administrator; Banned Pending Investigation, Florida, Walton County School District, April 2022, Administrator; Banned in Libraries and Classrooms, Idaho, West Ada School District, February 2022, Formal Challenge; Banned Pending Investigation, Kansas, Goddard Public Schools, November 2021, Administrator; Banned in Libraries, Missouri, Lindbergh Schools, October 2021, Formal Challenge; Banned in Libraries and Classrooms, Tennessee, Collierville Schools, February 2022, Administrator; Banned in Libraries and Classrooms, Texas, Cypress-Fairbanks Independent School District, April 2022, Administrator; Banned in Libraries, Texas, Granbury Independent School District, January 2022, Administrator; Banned Pending Investigation, Texas, North East Independent School District, December 2021, Administrator; Banned in Libraries and Classrooms, Wisconsin, Elmbrook Schools, July 2021, Administrator; Banned in Libraries and Classrooms, Wisconsin, School District of Waukesha, December 2021, Administrator; "
322,323,Understanding Gender,"Dawson, Juno","Banned Pending Investigation, Texas, North East Independent School District, December 2021, Administrator; "
323,324,The Boy I Love,"de Gramont, Nina","Banned Pending Investigation, Texas, Granbury Independent School District, January 2022, Administrator; "
324,325,I'm a Wild Seed: My Graphic Memoir on Queerness and Decolonizing the World,"De La Cruz, Sharon Lee","Banned Pending Investigation, Tennessee, Collierville Schools, February 2022, Administrator; "
325,326,Carmela Full of Wishes,"de la Peña, Matt","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator; "
326,327,Last Stop on Market Street,"de la Peña, Matt","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator; "
327,328,Mexican Whiteboy,"de la Peña, Matt","Banned in Libraries and Classrooms, Florida, Indian River County School District, November 2021, Administrator; "
328,329,The Migration North,"De Medeiros, James","Banned Pending Investigation, Texas, Granbury Independent School District, January 2022, Administrator; Banned Pending Investigation, Texas, North East Independent School District, December 2021, Administrator; "
329,330,The Gods of Tango,"de Robertis, Carolina","Banned Pending Investigation, Texas, North East Independent School District, December 2021, Administrator; "
330,331,I Wish You All the Best (I Wish You All the Best Series),"Deaver, Mason","Banned Pending Investigation, Tennessee, Collierville Schools, February 2022, Administrator; "
331,332,Maybe He Just Likes You,"Dee, Barbara","Banned Pending Investigation, Texas, Fredericksburg Independent School District, March 2022, Administrator; "
332,333,Star-Crossed,"Dee, Barbara","Banned Pending Investigation, Texas, Granbury Independent School District, January 2022, Administrator; Banned Pending Investigation, Texas, North East Independent School District, December 2021, Administrator; "
333,334,14 Cows for America,"Deedy, Carmen Agra","Banned Pending Investigation, Florida, Duval County Public Schools, January 2022, Administrator; "
334,335,"""Multiplication Is for White People"": Raising Expectations for Other People's Children","Delpit, Lisa","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator; "
335,336,Teaching When the World Is on Fire,"Delpit, Lisa D.","Banned Pending Investigation, Tennessee, Collierville Schools, February 2022, Administrator; "
336,337,The Legend of the Bluebonnet (Legends Series),"dePaola, Tomie","Banned Pending Investigation, Florida, Duval County Public Schools, January 2022, Administrator; "
337,338,Cece Loves Science (Cece Loves Science Series),"Derting, Kimberly","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator; "
338,339,Gender Equality (Foundations of Democracy),"des Neiges Léonard, Marie","Banned Pending Investigation, Texas, North East Independent School District, December 2021, Administrator; "
339,340,I Think I Love You,"Desombre, Auriane","Banned Pending Investigation, Tennessee, Collierville Schools, February 2022, Administrator; "
340,341,Team BFF: Race to the Finish! (Girls Who Code Series),"Deutsch, Stacia","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator; "
341,342,The Friendship Code (Girls Who Code Series),"Deutsch, Stacia","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator; "
342,343,Look Past,"Devine, Eric","Banned Pending Investigation, Texas, North East Independent School District, December 2021, Administrator; "
343,344,A Better Bad Idea,"Devore, Laurie","Banned Pending Investigation, Tennessee, Collierville Schools, February 2022, Administrator; "
344,345,White Fragility: Why It's So Hard for White People to Talk About Racism,"DiAngelo, Robin","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator; "
345,346,Islandborn,"Díaz, Junot","Banned Pending Investigation, Florida, Duval County Public Schools, January 2022, Administrator; Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator; "
346,347,The Friend Scheme,"Dietrich, Cale","Banned Pending Investigation, Tennessee, Collierville Schools, February 2022, Administrator; "
347,348,The Love Interest,"Dietrich, Cale","Banned Pending Investigation, Texas, Granbury Independent School District, January 2022, Administrator; Banned in Libraries, Texas, North East Independent School District, December 2021, Administrator; "
348,349,Mixed Me!,"Diggs, Taye","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator; "
349,350,Rap a Tap Tap: Here's Bojangles - Think of That!,"Dillon, Leo","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator; "
350,351,"The Legend of Korra: Turf Wars, Part One","DiMartino, Michael Dante","Banned Pending Investigation, Tennessee, Collierville Schools, February 2022, Administrator; "
351,352,"The Legend of Korra: Turf Wars, Part Three","DiMartino, Michael Dante","Banned Pending Investigation, Tennessee, Collierville Schools, February 2022, Administrator; "
352,353,"The Legend of Korra: Turf Wars, Part Two","DiMartino, Michael Dante","Banned Pending Investigation, Tennessee, Collierville Schools, February 2022, Administrator; "
353,354,You and Me and Him,"Dinnison, Kris","Banned Pending Investigation, Texas, Granbury Independent School District, January 2022, Administrator; "
354,355,"Chocolate Milk, Por Favor","Dismondy, Maria","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator; "
355,356,The Magical Yet,"DiTerlizzi, Angela","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator; "
356,357,WeirDo Series: Crazy Weird!,"Do, Anh","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator; "
357,358,WeirDo Series: Even Weirder!,"Do, Anh","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator; "
358,359,WeirDo Series: Extra Weird!,"Do, Anh","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator; "
359,360,WeirDo Series: Hopping Weird!,"Do, Anh","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator; "
360,361,WeirDo Series: Mega Weird!,"Do, Anh","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator; "
361,362,WeirDo Series: Messy Weird!,"Do, Anh","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator; "
362,363,WeirDo Series: Planet Weird,"Do, Anh","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator; "
363,364,WeirDo Series: Really Weird!,"Do, Anh","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator; "
364,365,WeirDo Series: Spinning Weird,"Do, Anh","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator; "
365,366,WeirDo Series: Splashy Weird!,"Do, Anh","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator; "
366,367,WeirDo Series: Spooky Weird!,"Do, Anh","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator; "
367,368,WeirDo Series: Super Weird!,"Do, Anh","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator; "
368,369,WeirDo Series: Tasty Weird!,"Do, Anh","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator; "
369,370,WeirDo Series: Totally Weird!,"Do, Anh","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator; "
370,371,WeirDo Series: Vote Weirdo,"Do, Anh","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator; "
371,372,WeirDo Series: WeirDo,"Do, Anh","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator; "
372,373,WeirDo Series: Weirdomania!,"Do, Anh","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator; "
373,374,Malala Yousafzai (A True Book: Biographies),"Doak, Robin S.","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator; "
374,375,"More Than a Game: Race, Gender, and Politics in Sports","Doeden, Matt","Banned Pending Investigation, Texas, North East Independent School District, December 2021, Administrator; "
375,376,Stella Díaz Has Something to Say (Stella Díaz Series),"Dominguez, Angela","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator; "
376,377,The Pull of the Stars,"Donoghue, Emma","Banned Pending Investigation, Tennessee, Collierville Schools, February 2022, Administrator; "
377,378,Ashes to Asheville,"Dooley, Sarah","Banned Pending Investigation, Florida, Duval County Public Schools, January 2022, Administrator; "
378,379,Abuela,"Dorros, Arthur","Banned Pending Investigation, Florida, Duval County Public Schools, January 2022, Administrator; "
379,380,Narrative of the Life of Frederick Douglass,"Douglass, Frederick","Banned in Libraries and Classrooms, Oklahoma, Edmond Public Schools, October 2021, Administrator; "
380,381,Unbecoming,"Downham, Jenny","Banned Pending Investigation, Tennessee, Collierville Schools, February 2022, Administrator; "
381,382,Blended,"Draper, Sharon M.","Banned in Libraries and Classrooms, Florida, Indian River County School District, November 2021, Administrator; Banned Pending Investigation, Kansas, Goddard Public Schools, November 2021, Administrator; Banned Pending Investigation, Tennessee, Hamilton County Schools, October 2021, Administrator; Banned in Libraries, Texas, Clear Creek Independent School District, April 2022, Formal Challenge; "
382,383,Darkness Before Dawn,"Draper, Sharon M.","Banned in Classrooms, North Carolina, Pitt County Schools, November 2021, Administrator; "
383,384,Forged By Fire,"Draper, Sharon M.","Banned in Classrooms, North Carolina, Pitt County Schools, November 2021, Administrator; "
384,385,Panic,"Draper, Sharon M.","Banned in Libraries, Texas, Cypress-Fairbanks Independent School District, January 2022, Administrator; Banned in Libraries and Classrooms, Texas, Keller Independent School District, November 2021, Formal Challenge; "
385,386,Romiette and Julio,"Draper, Sharon M.","Banned in Libraries, Florida, Lee County Schools, May 2022, Administrator; "
386,387,Hot Dog Girl,"Dugan, Jennifer","Banned Pending Investigation, Texas, North East Independent School District, December 2021, Administrator; "
387,388,Verona Comics,"Dugan, Jennifer","Banned Pending Investigation, Tennessee, Collierville Schools, February 2022, Administrator; "
388,389,"It Ain't So Awful, Falafel","Dumas, Firoozeh","Banned Pending Investigation, Florida, Duval County Public Schools, January 2022, Administrator; "
389,390,"Attack of the Swamp Thing (Jaden Toussaint, the Greatest Series)","Dumas, Marti","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator; "
390,391,"Mission Star-Power (Jaden Toussaint, the Greatest Series)","Dumas, Marti","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator; "
391,392,"Muffin Wars (Jaden Toussaint, the Greatest Series)","Dumas, Marti","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator; "
392,393,"The Ladek Invasion (Jaden Toussaint, the Greatest Series)","Dumas, Marti","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator; "
393,394,"The Quest for Screen Time (Jaden Toussaint, the Greatest Series)","Dumas, Marti","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator; "
394,395,An Indigenous Peoples' History of the United States,"Dunbar-Ortiz, Roxanne","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator; "
395,396,We Are Lost and Found,"Dunbar, Helene","Banned in Libraries, Texas, North East Independent School District, December 2021, Administrator; "
396,397,The Art of Critical Pedagogy: Possibilities for Moving from Theory to Practice in Urban Schools,"Duncan-Andrade, Jeffrey M. R.","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator; "
397,398,"Memphis, Martin, and the Mountaintop: The Sanitation Strike of 1968","Duncan, Alice Faye","Banned Pending Investigation, Florida, Duval County Public Schools, January 2022, Administrator; "
398,399,Killing Mr. Griffin,"Duncan, Lois","Banned Pending Investigation, Florida, Indian River County School District, November 2021, Administrator; Banned in Libraries and Classrooms, Florida, Jackson County School District, April 2022, Administrator; Banned Pending Investigation, Florida, Lee County Schools, March 2022, Administrator; Banned in Libraries, Florida, St. Lucie Public Schools, December 2021, Formal Challenge; Banned Pending Investigation, Florida, Walton County School District, April 2022, Administrator; "
399,400,A Perfect Blank,"Duran, Rye","Banned Pending Investigation, Tennessee, Collierville Schools, February 2022, Administrator; "
400,401,The Girl Who Fell from the Sky,"Durrow, Heidi W.","Banned Pending Investigation, Kansas, Goddard Public Schools, November 2021, Administrator; "
401,402,The Art of Saving the World,"Duyvis, Corinne","Banned Pending Investigation, Texas, North East Independent School District, December 2021, Administrator; "
402,403,Enough! 20 Protesters Who Changed America,"Easton, Emily","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator; "
403,404,The Witch King (The Witch King Series),"Edgmon, H. E.","Banned Pending Investigation, Tennessee, Collierville Schools, February 2022, Administrator; "
404,405,Who Is Barack Obama? (Who was...? Series),"Edwards, Roberta","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator; "
405,406,After,"Efaw, Amy","Banned Pending Investigation, Texas, Granbury Independent School District, January 2022, Administrator; Banned Pending Investigation, Texas, North East Independent School District, December 2021, Administrator; "
406,407,The Circle (The Circle Series),"Eggers, Dave","Banned in Libraries and Classrooms, South Dakota, Rapid City Area Schools, April 2022, Administrator; "
407,408,The New Queer Conscience,"Eli, Adam","Banned in Libraries and Classrooms, Tennessee, Collierville Schools, February 2022, Administrator; "
408,409,Perfect Chemistry (Perfect Chemistry Series),"Elkeles, Simone","Banned in Libraries and Classrooms, Florida, Indian River County School District, November 2021, Administrator; Banned in Libraries, Georgia, Cherokee County School District, January 2022, Formal Challenge; "
409,410,Milo's Museum,"Elliott, Zetta","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator; "
410,411,Say Her Name,"Elliott, Zetta","Banned Pending Investigation, Tennessee, Collierville Schools, February 2022, Administrator; "
411,412,Magic To Brew (Moonstruck Series),"Ellis, Grace","Banned Pending Investigation, Texas, North East Independent School District, December 2021, Administrator; "
412,413,May the Best Man Win,"Ellor, Z. R.","Banned Pending Investigation, Tennessee, Collierville Schools, February 2022, Administrator; "
413,414,Home at Last,"Elya, Susan Middleton","Banned Pending Investigation, Florida, Walton County School District, April 2022, Administrator; "
414,415,For White Folks Who Teach in the Hood... and the Rest of Y'all Too: Reality Pedagogy and Urban Education,"Emdin, Christopher","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator; "
415,416,Pet,"Emezi, Akwaeke","Banned Pending Investigation, Texas, North East Independent School District, December 2021, Administrator; "
416,417,A Dog Named Haku: A Holiday Story from Nepal,"Engle, Margarita","Banned Pending Investigation, Florida, Duval County Public Schools, January 2022, Administrator; "
417,418,Drum Dream Girl: How One Girl's Courage Changed Music,"Engle, Margarita","Banned Pending Investigation, Florida, Duval County Public Schools, January 2022, Administrator; Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator; "
418,419,Hot Day on Abbott Avenue,"English, Karen","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator; "
419,420,Nadia's Hands,"English, Karen","Banned Pending Investigation, Florida, Duval County Public Schools, January 2022, Administrator; "
420,421,Nikki & Deja (Nikki & Deja Series),"English, Karen","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator; "
421,422,En Comunidad: Lessons for Centering the Voices and Experiences of Bilingual Latinx Students,"España, Carla","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator; "
422,423,Birth Control,"Espejo, Roman","Banned Pending Investigation, Texas, Klein Independent School District, December 2021, Administrator; "
423,424,Teach Us Your Name: Empowering Children to Teach Others to Pronounce Their Names Correctly,"Essa, Huda","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator; "
424,425,Middlesex,"Eugenides, Jeffrey","Banned Pending Investigation, Texas, North East Independent School District, December 2021, Administrator; "
425,426,We March,"Evans, Shane W.","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator; Banned Pending Investigation, Texas, North East Independent School District, December 2021, Administrator; "
426,427,"Girl, Woman, Other","Evaristo, Bernardine","Banned in Libraries and Classrooms, South Dakota, Rapid City Area Schools, April 2022, Administrator; "
427,428,Lawn Boy,"Evison, Jonathan","Banned in Libraries, Florida, Orange County Public Schools, October 2021, Formal Challenge; Banned Pending Investigation, Iowa, Waukee Community School District, October 2021, Administrator; Banned Pending Investigation, Kansas, Goddard Public Schools, November 2021, Administrator; Banned in Libraries, Michigan, Novi Community School District, January 2022, Formal Challenge; Banned Pending Investigation, Minnesota, Wayzata Public Schools, January 2022, Administrator; Banned Pending Investigation, Missouri, Wentzville School District, October 2021, Formal Challenge; Banned Pending Investigation, New York, Yorktown Central School District, January 2022, Formal Challenge; Banned Pending Investigation, Ohio, Hudson City Schools, September 2021, Administrator; Banned in Libraries, Pennsylvania, North Penn School District, September 2021, Administrator; Banned in Libraries and Classrooms, Texas, Katy Independent School District, February 2022, Administrator; Banned Pending Investigation, Texas, Lamar Consolidated Independent School District, December 2021, Administrator; Banned in Libraries, Texas, North East Independent School District, December 2021, Administrator; Banned in Libraries and Classrooms, Texas, Prosper Independent School District, January 2022, Administrator; Banned in Libraries and Classrooms, Texas, Tyler Independent School District, November 2021, Administrator; Banned Pending Investigation, Utah, Canyons School District, October 2021, Administrator; Banned Pending Investigation, Virginia, Fairfax County Public Schools, September 2021, Formal Challenge; Banned Pending Investigation, Virginia, Virginia Beach City Public Schools, October 2021, Administrator; "
428,429,"10,000 Dresses","Ewert, Marcus","Banned Pending Investigation, Florida, Duval County Public Schools, January 2022, Administrator; "
429,430,Ghosts in the Schoolyard: Racism and School Closings on Chicago's South Side,"Ewing, Eve L.","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator; "
430,431,Who Was Frida Kahlo? (Who was...? Series),"Fabiny, Sarah","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator; "
431,432,Who Was Rachel Carson? (Who was...? Series),"Fabiny, Sarah","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator; "
432,433,My Heart Underwater,"Fantauzzo, Laurel Flores","Banned Pending Investigation, Tennessee, Collierville Schools, February 2022, Administrator; Banned Pending Investigation, Texas, North East Independent School District, December 2021, Administrator; "
433,434,If You Could Be Mine,"Farizan, Sara","Banned Pending Investigation, Texas, North East Independent School District, December 2021, Administrator; "
434,435,Tell Me Again How a Crush Should Feel,"Farizan, Sara","Banned Pending Investigation, Texas, North East Independent School District, December 2021, Administrator; "
435,436,The Abortion Debate (Essential Viewpoints),"Farrell, Courtney","Banned Pending Investigation, Texas, Klein Independent School District, December 2021, Administrator; Banned in Libraries, Texas, North East Independent School District, December 2021, Administrator; "
436,437,With Or Without You,"Farrey, Brian","Banned in Libraries, Texas, North East Independent School District, December 2021, Administrator; "
437,438,Lailah's Lunchbox: A Ramadan Story,"Faruqi, Reem","Banned Pending Investigation, Florida, Duval County Public Schools, January 2022, Administrator; "
438,439,A Place at the Table,"Faruqi, Saadia","Banned in Classrooms, North Carolina, Wilkes County School District, May 2022, Administrator; "
439,440,Yasmin the Builder (Yasmin Series),"Faruqi, Saadia","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator; "
440,441,Yasmin the Chef (Yasmin Series),"Faruqi, Saadia","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator; "
441,442,Yasmin the Explorer (Yasmin Series),"Faruqi, Saadia","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator; "
442,443,Yasmin the Fashionista (Yasmin Series),"Faruqi, Saadia","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator; "
443,444,Yasmin the Friend (Yasmin Series),"Faruqi, Saadia","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator; "
444,445,Yasmin the Gardener (Yasmin Series),"Faruqi, Saadia","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator; "
445,446,Yasmin the Librarian (Yasmin Series),"Faruqi, Saadia","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator; "
446,447,Yasmin the Painter (Yasmin Series),"Faruqi, Saadia","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator; "
447,448,Yasmin the Recycler (Yasmin Series),"Faruqi, Saadia","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator; "
448,449,Yasmin the Scientist (Yasmin Series),"Faruqi, Saadia","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator; "
449,450,Yasmin the Singer (Yasmin Series),"Faruqi, Saadia","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator; "
450,451,Yasmin the Soccer Star (Yasmin Series),"Faruqi, Saadia","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator; "
451,452,Yasmin the Superhero (Yasmin Series),"Faruqi, Saadia","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator; "
452,453,Yasmin the Teacher (Yasmin Series),"Faruqi, Saadia","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator; "
453,454,Yasmin the Writer (Yasmin Series),"Faruqi, Saadia","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator; "
454,455,Yasmin the Zookeeper (Yasmin Series),"Faruqi, Saadia","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator; "
455,456,Roe v. Wade: The Untold Story of the Landmark Supreme Court Decision that Made Abortion Legal,"Faux, Marian","Banned Pending Investigation, Texas, Klein Independent School District, December 2021, Administrator; Banned in Libraries, Texas, North East Independent School District, December 2021, Administrator; "
456,457,Nate Expectations,"Federle, Tim","Banned Pending Investigation, Texas, North East Independent School District, December 2021, Administrator; "
457,458,The Great American Whatever,"Federle, Tim","Banned Pending Investigation, Tennessee, Collierville Schools, February 2022, Administrator; Banned Pending Investigation, Texas, North East Independent School District, December 2021, Administrator; "
458,459,The Sissy Duckling,"Fierstein, Harvey","Banned in Libraries and Classrooms, Florida, Broward County Public Schools, June 2022, Administrator; "
459,460,Phoenix Goes to School: A Story to Support Transgender and Gender Diverse Children,"Finch, Michelle","Banned Pending Investigation, Indiana, Carmel Clay Schools, July 2021, Administrator; "
460,461,The Sweet Revenge of Celia Door,"Finneyfrock, Karen","Banned in Libraries, Texas, North East Independent School District, December 2021, Administrator; "
461,462,Hook Up,"Firmston, Kim","Banned in Libraries, Texas, North East Independent School District, December 2021, Administrator; "
462,463,Do Abstinence Programs Work?,"Fisanick, Christina","Banned Pending Investigation, Texas, Klein Independent School District, November 2021, Administrator; "
463,464,The Passing Playbook,"Fitzsimons, Isaac","Banned Pending Investigation, Tennessee, Collierville Schools, February 2022, Administrator; "
464,465,Who Am I Without Him?: A Short Story Collection about Girls and Boys in Their Lives,"Flake, Sharon G.","Banned Pending Investigation, Florida, Indian River County School District, November 2021, Administrator; "
465,466,Seedfolks,"Fleischman, Paul","Banned in Libraries, Texas, Birdville Independent School District, October 2021, Formal Challenge; "
466,467,Tattoo Atlas,"Floreen, Tim","Banned Pending Investigation, Texas, North East Independent School District, December 2021, Administrator; "
467,468,Willful Machines,"Floreen, Tim","Banned Pending Investigation, Texas, North East Independent School District, December 2021, Administrator; "
468,469,"Jasmine Toguchi, Drummer Girl (Jasmine Toguchi Series)","Florence, Debbi Michiko","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator; "
469,470,"Jasmine Toguchi, Flamingo Keeper (Jasmine Toguchi Series)","Florence, Debbi Michiko","Banned Pending Investigation, Florida, Duval County Public Schools, January 2022, Administrator; Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator; "
470,471,"Jasmine Toguchi, Mochi Queen (Jasmine Toguchi Series)","Florence, Debbi Michiko","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator; "
471,472,"Jasmine Toguchi, Super Sleuth (Jasmine Toguchi Series)","Florence, Debbi Michiko","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator; "
472,473,Gone Girl,"Flynn, Gillian","Banned in Libraries and Classrooms, Florida, Indian River County School District, November 2021, Administrator; "
473,474,Extremely Loud & Incredibly Close,"Foer, Jonathan Safran","Banned in Libraries, Florida, Indian River County School District, November 2021, Administrator; Banned in Libraries, Florida, Lee County Schools, May 2022, Administrator; Banned in Libraries, Florida, Polk County Public Schools, January 2022, Administrator; Banned in Libraries, Florida, St. Lucie Public Schools, January 2022, Formal Challenge; Banned Pending Investigation, Florida, Walton County School District, April 2022, Administrator; Banned in Libraries and Classrooms, Idaho, Nampa School District, May 2022, Administrator; Banned Pending Investigation, Michigan, Gladwin Community Schools, May 2022, Administrator; "
474,475,The Carnival at Bray,"Foley, Jessie Ann","Banned in Libraries and Classrooms, Florida, Indian River County School District, November 2021, Administrator; "
475,476,Anne Frank's Diary: The Graphic Adaptation,"Folman, Ari","Banned in Libraries, Texas, Katy Independent School District, January 2022, Administrator; "
476,477,Suicide Notes,"Ford, Michael Thomas","Banned in Libraries, Texas, North East Independent School District, December 2021, Administrator; "
477,478,I Was Here,"Forman, Gayle","Banned Pending Investigation, Oklahoma, Bristow Public Schools, October 2021, Administrator; "
478,479,Winter Candle,"Frame, Jeron Ashford","Banned Pending Investigation, Florida, Duval County Public Schools, January 2022, Administrator; "
479,480,Dime,"Frank, E. R.","Banned in Libraries and Classrooms, Florida, Indian River County School District, November 2021, Administrator; "
480,481,Life is Funny,"Frank, ER","Banned in Libraries and Classrooms, North Carolina, Moore County Schools, April 2022, Administrator; "
481,482,Not Quite Snow White,"Franklin, Ashley","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator; "
482,483,Tessa Masterson Will Go to Prom,"Franklin, Emily","Banned Pending Investigation, Texas, Granbury Independent School District, January 2022, Administrator; Banned in Libraries, Texas, North East Independent School District, December 2021, Administrator; "
483,484,Bingo Love #1,"Franklin, Tee","Banned in Libraries and Classrooms, Tennessee, Collierville Schools, February 2022, Administrator; "
484,485,Cheer Up: Love and Pompoms,"Frasier, Crystal","Banned Pending Investigation, Tennessee, Collierville Schools, February 2022, Administrator; "
485,486,The Black Friend: On Being a Better White Person,"Joseph, Frederick","Banned in Libraries and Classrooms, Florida, Indian River County School District, November 2021, Administrator; Banned in Libraries, Mississippi, Madison County Schools, April 2022, Administrator; "
486,487,Monster Trouble!,"Fredrickson, Lane","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator; "
487,488,Pedagogy of the Oppressed,"Freire, Paulo","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator; "
488,489,All Eyes on Us,"Frick, Kit","Banned Pending Investigation, Texas, North East Independent School District, December 2021, Administrator; "
489,490,Lush,"Friend, Natasha","Banned Pending Investigation, Florida, Indian River County School District, November 2021, Administrator; "
490,491,The Double Life of Pocahontas,"Fritz, Jean","Banned Pending Investigation, Florida, Duval County Public Schools, January 2022, Administrator; "
491,492,African American Cowboys: True Heroes Of The Old West,"Fuerst, Jeffrey B.","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator; "
492,493,A Quick & Easy Guide to Queer & Trans Identities,"G., Mady","Banned in Libraries and Classrooms, Florida, Indian River County School District, November 2021, Administrator; Banned in Libraries and Classrooms, Tennessee, Collierville Schools, February 2022, Administrator; "
493,494,Outlander (Outlander Series),"Gabaldon, Diana","Banned Pending Investigation, Florida, Walton County School District, April 2022, Administrator; "
494,495,Sam!,"Gabriel, Dani","Banned Pending Investigation, Florida, Duval County Public Schools, January 2022, Administrator; "
