,idx,title,author,ban_info
31,32,The Ballad of Ami Miles,"Alley, Kristy Dallas","Banned Pending Investigation, Tennessee, Collierville Schools, February 2022, Administrator; "
32,33,Hear These Voices: Youth at the Edge of the Millennium,"Allison, Anthony","Banned Pending Investigation, Florida, Indian River County School District, November 2021, Administrator; "
33,34,A is for Audra: Broadway's Leading Ladies from A to Z,"Allman, John Robert","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator; "
34,35,"Bioethics: Who Lives, Who Dies, And Who Decides?","Altman, Linda Jacobs","Banned Pending Investigation, Texas, Granbury Independent School District, January 2022, Administrator; Banned in Libraries, Texas, North East Independent School District, December 2021, Administrator; "
35,36,We Are All Born Free: The Universal Declaration of Human Rights in Pictures,Amnesty International,"Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator; "
36,37,"Bless Me, Ultima","Anaya, Rudolfo","Banned Pending Investigation, Oklahoma, Bristow Public Schools, October 2021, Administrator; "
37,38,The Weight of the Stars,"Ancrum, K.","Banned Pending Investigation, Tennessee, Collierville Schools, February 2022, Administrator; "
38,39,Victories Greater Than Death (Unstoppable Series),"Anders, Charlie Jane","Banned Pending Investigation, Tennessee, Collierville Schools, February 2022, Administrator; "
39,40,Neither,"Anderson, Airlie","Banned Pending Investigation, Florida, Duval County Public Schools, January 2022, Administrator; "
40,41,White Rage: The Unspoken Truth of Our Racial Divide,"Anderson, Carol","Banned in Classrooms, Pennsylvania, Central York School District, August 2021, Administrator; "
41,42,Shout,"Anderson, Laurie Halse","Banned Pending Investigation, Texas, Granbury Independent School District, January 2022, Administrator; Banned in Classrooms, Texas, Leander Independent School District, September 2021, Administrator; Banned Pending Investigation, Texas, North East Independent School District, December 2021, Administrator; "
